Date,City,State,School,Fatalities,Wounded
9/3/2009,San Bruno,California,C,0,1
9/8/2009,Stamford,Connecticut,HS,0,
9/14/2009,Grand Rapids,Michigan,HS,0,
9/16/2009,Henrico,Virginia,HS,0,
10/16/2009,Carolina Forest,South Carolina,HS,1,
10/16/2009,Conway,South Carolina,HS,1,0
10/30/2009,Long Beach,California,HS,1,
11/16/2009,Dallas,Texas,ES,0,
12/2/2009,Brockton,Massachusetts,HS,0,
12/8/2009,Woodbridge,Virginia,C,0,
12/11/2009,Shreveport,Louisiana,HS,0,
1/7/2010,Phoenix,Arizona,HS,0,
1/20/2010,Livingston,Alabama,HS,1,
2/5/2010,Madison,Alabama,MS,1,
2/5/2010,Madison,Alabama,MS,1,0
2/10/2010,Knoxville,Tennessee,ES,0,
2/12/2010,Huntsville,Alabama,C,3,
2/12/2010,Huntsville,Alabama,C,3,3
2/19/2010,DeKalb,Illinois,C,0,
2/19/2010,DeKalb,Illinois,C,0,1
2/23/2010,Littleton,Colorado,MS,0,
2/23/2010,Littleton,Colorado,MS,0,2
2/26/2010,Tacoma,Washington,ES,2,
3/9/2010,Columbus,Ohio,C,1,
3/9/2010,Columbus,Ohio,C,1,1
4/29/2010,Portsmouth,Virginia,HS,0,
5/18/2010,South Gate,California,HS,0,
8/31/2010,Blountville,Tennessee,HS,1,
9/7/2010,Detroit,Michigan,HS,0,
9/8/2010,Detroit,Michigan,HS,0,2
9/16/2010,Moss Bluff,Louisiana,MS,1,
9/21/2010,Columbia,South Carolina,HS,0,
9/28/2010,Austin,Texas,C,1,
9/28/2010,Austin,Texas,C,1,0
10/1/2010,Salinas,California,HS,1,
10/1/2010,Salinas,California,HS,1,0
10/3/2010,Elizabeth City,North Carolina,C,1,
10/8/2010,Carlsbad,California,ES,0,
10/8/2010,Carlsbad,California,ES,0,2
10/25/2010,Selma,Alabama,ES,0,
11/29/2010,Marinette,Wisconsin,HS,0,
11/29/2010,Marinette,Wisconsin,HS,1,0
12/6/2010,Aurora,Colorado,HS,0,1
1/5/2011,Omaha,Nebraska,HS,1,
1/5/2011,Omaha,Nebraska,HS,2,2
1/18/2011,Los Angeles,California,HS,0,
2/2/2011,Placerville,California,ES,1,
2/14/2011,Murfreesboro,Tennessee,C,0,
2/23/2011,Los Angeles,California,C,1,
3/25/2011,Martinsville,Indiana,MS,0,
3/25/2011,Martinsville,Indiana,MS,0,1
3/31/2011,Houston,Texas,HS,1,
3/31/2011,Houston,Texas,HS,1,5
4/6/2011,Opelika,Alabama,C,1,
4/13/2011,Apopka,Florida,HS,0,
4/19/2011,Houston,Texas,ES,0,
5/23/2011,Pearl City,Hawaii,MS,0,
5/23/2011,Pearl City,Hawaii,MS,0,1
8/26/2011,Harper Woods,Michigan,HS,0,
10/24/2011,Fayetteville,North Carolina,HS,0,
10/24/2011,Fayetteville,North Carolina,HS,0,1
11/15/2011,Berkeley,California,C,0,
12/8/2011,Blacksburg,Virginia,C,1,
12/8/2011,Blacksburg,Virginia,C,2,0
12/9/2011,Edinburg,Texas,MS,0,
12/9/2011,Edinburg,Texas,MS,0,2
1/4/2012,Brownsville,Texas,MS,0,
1/10/2012,Houston,Texas,HS,0,
1/10/2012,Houston,Texas,HS,0,1
2/10/2012,Walpole,New Hampshire,ES,0,
2/22/2012,Bremerton,Washington,ES,0,
2/27/2012,Chardon,Ohio,HS,3,
2/27/2012,Chardon,Ohio,HS,3,3
3/6/2012,Jacksonville,Florida,HS,1,
3/6/2012,Jacksonville,Florida,-,2,0
3/24/2012,Starkville,Mississippi,C,1,
4/2/2012,Oakland,California,C,7,
4/2/2012,Oakland,California,C,7,3
5/26/2012,Chapel Hill,North Carolina,ES,1,
8/16/2012,Memphis,Tennessee,HS,0,
8/16/2012,Memphis,Tennessee,HS,0,2
8/27/2012,Perry Hall,Maryland,HS,0,
8/27/2012,Perry Hall,Maryland,HS,0,1
9/7/2012,Normal,Illinois,HS,0,
9/7/2012,Normal,Illinois,HS,0,0
9/12/2012,Baltimore,Maryland,C,0,
10/6/2012,Mobile,Alabama,C,1,0
10/19/2012,Chicago,Illinois,HS,1,0
10/31/2012,Los Angeles,California,C,0,
10/31/2012,Los Angeles,California,C,0,4
11/30/2012,Baltimore,Maryland,C,0,
12/14/2012,Newtown,Connecticut,ES,27,
12/14/2012,Newtown,Connecticut,ES,28,2
1/7/2013,Fort Myers,Florida,ES,1,
1/7/2013,Fort Myers,Florida,-,1,0
1/10/2013,Taft,California,HS,0,
1/10/2013,Taft,California,HS,0,2
1/12/2013,Detroit,Michigan,HS,0,1
1/15/2013,Hazard,Kentucky,C,3,
1/15/2013,St. Louis,Missouri,C,0,
1/15/2013,St. Louis,Missouri,C,0,2
1/15/2013,Hazard,Kentucky,C,3,0
1/16/2013,Chicago,Illinois,C,0,
1/16/2013,Chicago,Illinois,C,1,0
1/22/2013,Houston,Texas,C,0,
1/22/2013,Houston,Texas,C,0,3
1/31/2013,Phoenix,Arizona,HS,0,
1/31/2013,Atlanta,Georgia,MS,0,
1/31/2013,Phoenix,Arizona,HS,0,0
1/31/2013,Atlanta,Georgia,MS,0,2
3/18/2013,Orlando,Florida,C,1,
3/18/2013,Orlando,Florida,C,1,0
4/12/2013,Christiansburg,Virginia,C,0,
4/12/2013,Dublin,Virginia,C,0,2
4/16/2013,Grambling,Louisiana,C,0,
4/16/2013,Grambling,Louisiana,C,0,3
4/18/2013,Cambridge,Massachusetts,C,2,
4/18/2013,Cambridge,Massachusetts,C,2,1
5/14/2013,Birmingham,Alabama,MS,0,
5/14/2013,Birmingham,Alabama,MS,0,0
6/7/2013,Santa Monica,California,C,6,
6/7/2013,Santa Monica,California,C,6,4
6/20/2013,West Palm Beach,Florida,HS,2,
8/20/2013,Decatur,Georgia,ES,0,
8/20/2013,Decatur,Georgia,-,0,0
8/23/2013,Sardis,Mississippi,HS,1,
8/23/2013,Sardis,Mississippi,HS,1,2
8/30/2013,Winston-Salem,North Carolina,HS,0,
8/30/2013,Winston-Salem,North Carolina,HS,0,1
10/4/2013,Pine Hills,Florida,HS,0,
10/4/2013,Pine Hills,Florida,HS,0,2
10/21/2013,Sparks,Nevada,MS,2,
10/21/2013,Sparks,Nevada,MS,2,2
11/2/2013,Greensboro,North Carolina,C,0,
11/2/2013,Greensboro,North Carolina,C,0,1
11/3/2013,Lithonia,Georgia,HS,0,
11/3/2013,Lithonia,Georgia,HS,0,2
11/13/2013,Pittsburgh,Pennsylvania,HS,0,
11/13/2013,Pittsburgh,Pennsylvania,HS,0,3
12/4/2013,Winter Garden,Florida,HS,0,
12/4/2013,Winter Garden,Florida,HS,0,1
12/13/2013,Centennial,Colorado,HS,2,
12/13/2013,Centennial,Colorado,HS,2,0
12/19/2013,Fresno,California,HS,0,
12/19/2013,Fresno,California,HS,0,1
1/9/2014,Jackson,Tennessee,HS,0,1
1/13/2014,New Haven,Connecticut,HS,0,1
1/14/2014,Roswell,New Mexico,MS,0,3
1/17/2014,Philadelphia,Pennsylvania,HS,0,2
1/20/2014,Chester,Pennsylvania,C,0,1
1/21/2014,West Lafayette,Indiana,C,1,0
1/24/2014,Orangeburg,South Carolina,C,1,0
1/25/2014,Los Angeles,California,C,1,0
1/27/2014,Carbondale,Illinois,HS,0,1
1/28/2014,Nashville,Tennessee,C,0,1
1/30/2014,Palm Bay,Florida,C,0,1
1/31/2014,Des Moines,Iowa,HS,0,1
2/10/2014,Salisbury,North Carolina,HS,0,1
2/10/2014,Lyndhurst,Ohio,HS,0,0
2/12/2014,Los Angeles,California,C,0,1
