Name,State,Region,Pressident,Start Year,End Year
Rescue Operations During Cuban Crisis,CUB,Latin America & Caribbean,Dwight D. Eisenhower,1959,1960.0
,CHN,Asia,Dwight D. Eisenhower,1960,1960.0
Bay of Pigs Invasion,CUB,Latin America & Caribbean,Dwight D. Eisenhower,1960,1961.0
Congo Crisis,DRC,Africa,Dwight D. Eisenhower,1960,1964.0
Downing of U.S. Spy Planes,RUS,Europe,Dwight D. Eisenhower,1960,1960.0
Dominican Republic Intervention,DOM,Latin America & Caribbean,John F. Kennedy,1961,1961.0
,DRV,Asia,John F. Kennedy,1961,1962.0
,"DRV, RUS, CHIN",Asia,Dwight D. Eisenhower,1961,1961.0
Berlin Crisis,"GDR, POL, CZE, RUS",Europe,John F. Kennedy,1961,1961.0
Checkpoint Charlie Standoff,RUS,Europe,John F. Kennedy,1961,1961.0
Quemoy Shelling,CHN,Asia,John F. Kennedy,1962,1962.0
Cuban Missile Crisis,"CUB, RUS",Latin America & Caribbean,John F. Kennedy,1962,1962.0
,"EGY, YAR",Africa,John F. Kennedy,1962,1962.0
Laos Civil War,"LAO, CHIN",Asia,John F. Kennedy,1962,1973.0
,PER,Latin America & Caribbean,John F. Kennedy,1962,1962.0
,PRK,Asia,John F. Kennedy,1962,1964.0
Support for Thai Regime,THI,Asia,John F. Kennedy,1962,1962.0
,ECU,Latin America & Caribbean,John F. Kennedy,1963,1963.0
Haiti - Domincan Republic Dispute ,"HAI, DOM",Latin America & Caribbean,John F. Kennedy,1963,1963.0
1963 Iraqi Coup,IRQ,Asia,John F. Kennedy,1963,1963.0
,RUS,Europe,John F. Kennedy,1963,1963.0
,RUS,Europe,John F. Kennedy,1963,1963.0
Cambodia Bombing Campaign,CAM,Asia,Lyndon B. Johnson,1964,1969.0
Operations Dragon Rouge & Dragon Noir,DRC,Africa,Lyndon B. Johnson,1964,1965.0
,"PRK, RUS, ROK",Asia,Lyndon B. Johnson,1964,1969.0
,RUS,Europe,Lyndon B. Johnson,1964,1964.0
,RUS,Europe,Lyndon B. Johnson,1964,1964.0
Vietnam War,"RVN, RUS, CHIN, DRV, LAO",Asia,Lyndon B. Johnson,1964,1973.0
China/US Air Skirmishes,CHN,Asia,Lyndon B. Johnson,1965,1968.0
,"CHN, CAM",Asia,Lyndon B. Johnson,1965,1966.0
Operation Power Pack,DOM,Latin America & Caribbean,Lyndon B. Johnson,1965,1966.0
,INS,Asia,Lyndon B. Johnson,1965,1965.0
Air Skirmish,PRK,Asia,Lyndon B. Johnson,1965,1965.0
Guatemalan Civil War,GUA,Latin America & Caribbean,Lyndon B. Johnson,1966,1968.0
,RUS,Europe,Lyndon B. Johnson,1966,1966.0
,CAM,Asia,Lyndon B. Johnson,1967,1967.0
Stanleyville Mutiny,DRC,Africa,Lyndon B. Johnson,1967,1967.0
,ECU,Latin America & Caribbean,Lyndon B. Johnson,1967,1967.0
,RUS,Europe,Lyndon B. Johnson,1967,1967.0
